,tract,med_hh_income,med_hh_income_universe,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
771,06037224702,9722.0,714.0,3287.0,720.0,2567.0,2480.0,1125.0,159.0,1.0,1111.0
772,06037226001,34444.0,580.0,2632.0,1914.0,718.0,695.0,227.0,371.0,10.0,70.0
773,06037226002,37147.0,1157.0,3587.0,1264.0,2323.0,2188.0,1041.0,832.0,26.0,251.0
774,06037226410,38438.0,872.0,3456.0,3279.0,177.0,165.0,34.0,88.0,2.0,33.0
775,06037226420,43464.0,1330.0,5026.0,4401.0,625.0,596.0,53.0,331.0,3.0,194.0
776,06037226701,65192.0,646.0,2969.0,2766.0,203.0,177.0,51.0,97.0,0.0,16.0
777,06037226702,42217.0,892.0,2884.0,2629.0,255.0,235.0,42.0,164.0,4.0,14.0
778,06037227010,44277.0,1106.0,4506.0,4023.0,483.0,455.0,74.0,354.0,6.0,14.0
779,06037227020,55917.0,828.0,3508.0,3289.0,219.0,211.0,38.0,149.0,2.0,13.0
780,06037228100,55335.0,1159.0,4796.0,4351.0,445.0,430.0,40.0,338.0,8.0,19.0
781,06037228210,36214.0,1038.0,3770.0,3344.0,426.0,399.0,42.0,295.0,3.0,51.0
782,06037228220,45875.0,955.0,4458.0,3954.0,504.0,469.0,37.0,408.0,8.0,6.0
783,06037228310,44115.0,1034.0,4491.0,4011.0,480.0,462.0,62.0,344.0,2.0,32.0
784,06037228320,43770.0,718.0,3023.0,2751.0,272.0,258.0,24.0,212.0,2.0,2.0
785,06037228410,42337.0,731.0,3129.0,2889.0,240.0,209.0,32.0,132.0,4.0,18.0
786,06037228420,43661.0,691.0,3041.0,2759.0,282.0,265.0,24.0,206.0,3.0,17.0
787,06037228500,36842.0,1166.0,5376.0,4756.0,620.0,599.0,83.0,420.0,14.0,18.0
788,06037228600,53864.0,1120.0,4882.0,4374.0,508.0,455.0,36.0,387.0,7.0,9.0
789,06037228710,33704.0,1028.0,4245.0,3687.0,558.0,536.0,54.0,380.0,0.0,63.0
790,06037228720,49875.0,1105.0,4394.0,3944.0,450.0,416.0,30.0,363.0,12.0,6.0
791,06037228800,40955.0,1236.0,5709.0,4944.0,765.0,712.0,70.0,504.0,1.0,108.0
792,06037228900,27917.0,754.0,3420.0,2887.0,533.0,516.0,15.0,421.0,5.0,62.0
793,06037229100,53958.0,1101.0,4523.0,4113.0,410.0,391.0,35.0,319.0,3.0,5.0
794,06037229200,54481.0,1168.0,4636.0,3866.0,770.0,749.0,45.0,573.0,5.0,86.0
795,06037229300,43176.0,1440.0,5642.0,4815.0,827.0,761.0,76.0,613.0,13.0,37.0
796,06037229410,47406.0,866.0,3471.0,2988.0,483.0,469.0,52.0,379.0,3.0,19.0
797,06037229420,45856.0,1043.0,4681.0,4101.0,580.0,539.0,42.0,468.0,2.0,14.0
798,06037231100,31271.0,672.0,3148.0,2477.0,671.0,633.0,163.0,379.0,14.0,61.0
799,06037231210,32454.0,1195.0,3793.0,2713.0,1080.0,973.0,111.0,741.0,4.0,94.0
800,06037231220,29461.0,1430.0,3942.0,2647.0,1295.0,1216.0,122.0,731.0,9.0,325.0
801,06037231301,47310.0,827.0,2797.0,2008.0,789.0,695.0,63.0,555.0,9.0,33.0
802,06037231302,68281.0,889.0,2733.0,1730.0,1003.0,921.0,142.0,697.0,5.0,45.0
803,06037231400,57717.0,1552.0,4590.0,2995.0,1595.0,1490.0,173.0,1168.0,1.0,112.0
804,06037231500,52946.0,1441.0,4725.0,2723.0,2002.0,1850.0,211.0,1434.0,10.0,154.0
