COMM_CURRENT,OBJECTID,BG20,CB20,CTCB20,FIP20,BGFIP20,ZCTA20,HD22,SPA22,SUP21,POP20,HOUSING20,FIP_CURRENT,BG20FIP_CURRENT,ShapeSTArea,ShapeSTLength,med_hh_income,med_hh_income_universe,ESRI_OID,Shape__Area,Shape__Length,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
Brookside,44443.692307692305,2161001.0,1006.0,2161001006.0,44000.0,216100144000.0,90017.53846153847,34.0,4.0,2.0,55.38461538461539,18.692307692307693,44000.0,216100144000.0,219542.55134279435,2062.8349851680705,120526.0,964.0,2790.0,7258622.61328125,11137.2282597639,2465.0,345.0,2120.0,1962.0,1110.0,364.0,1.0,470.0
West Hills,41479.2729528536,1576743.3622828785,1707.9801488833748,1576743370.5111663,44000.0,157674380228.28784,91307.30769230769,86.0,2.0,3.0,96.93796526054591,34.007444168734494,44000.0,157674380228.28784,691262.561162194,3886.6140570299754,120265.70256410257,1298.3052109181142,3848.3225806451615,25381664.96896567,23424.377999885663,3655.6029776674936,673.9330024813896,2981.6699751861042,2790.5856079404466,2052.573200992556,122.91811414392059,5.119106699751861,583.4069478908189
Westchester,48693.24734982332,3947577.82155477,2057.9134275618376,3947577835.2985864,44000.0,394757826155.47705,90075.4814159292,84.0,5.0,2.0,89.68197879858657,40.96289752650177,44000.0,394757826155.47705,681617.0120468845,3235.3060335312007,119881.72399150743,1300.0318021201413,4215.803886925795,44585480.54025137,29294.16053997519,3435.4575971731447,614.3109540636042,2821.1466431095405,2583.2809187279154,1800.5936395759718,263.482332155477,7.215547703180212,477.7279151943463
Woodland Hills,41673.251177394035,1371223.6546310831,1811.1145996860282,1371223663.5478806,44000.0,137122409463.10832,91363.94505494506,86.0,2.0,3.0,111.89010989010988,48.218210361067506,44000.0,137122409463.10832,645762.4641305412,3675.327708506956,117320.12087912088,1568.8257456828885,4108.131868131868,26069664.003104456,23299.3291806146,4228.747252747253,544.8053375196232,3683.9419152276296,3445.4725274725274,2828.9199372056514,174.9701726844584,5.882260596546311,397.75667189952907
Los Feliz,38772.38053097345,4199262.044247787,1614.4380530973451,4199262056.9159293,44000.0,419926248424.77875,90057.11061946902,21.38938053097345,4.0,5.0,93.10619469026548,51.415929203539825,44000.0,419926248424.77875,1289939.905086351,4931.37604607018,114033.5625,1059.486725663717,4457.340707964602,74331510.94170454,33993.790753734254,2138.0619469026547,274.8495575221239,1863.212389380531,1742.646017699115,1430.41592920354,59.65929203539823,2.9646017699115044,234.20353982300884
Century City,45419.663865546216,2675252.5714285714,1486.2521008403362,2675252578.6890755,44000.0,267525301142.85715,90045.6218487395,84.0,5.0,3.0,114.28571428571429,63.563025210084035,44000.0,267525301142.85715,271506.1214603008,2259.7583958532337,113930.96638655462,1541.2268907563025,3828.5210084033615,8115010.87523798,11990.080025573892,3448.0336134453783,252.14285714285714,3195.890756302521,2997.9411764705883,2399.126050420168,78.24369747899159,4.882352941176471,492.9579831932773
Venice,51250.37753222836,2735728.5727440147,2264.686924493554,2735728581.445672,44000.0,273572901274.40146,90287.30555555556,84.0,5.0,2.9521178637200736,61.591160220994475,35.34990791896869,44000.0,273572901274.40146,159182.90683100728,1719.5830946010108,112179.90784313726,1579.7845303867402,4037.51197053407,7163714.06193888,11878.18698059514,3120.160220994475,520.5653775322284,2599.594843462247,2419.966850828729,2077.303867403315,135.84530386740332,5.666666666666667,164.82136279926334
Granada Hills,37513.394230769234,1374566.4884615385,1765.1076923076923,1374566495.876923,44000.0,137456692846.15384,91343.5826923077,62.0,2.0,3.0,109.5576923076923,36.65,44000.0,137456692846.15384,843934.6102940002,3907.67900985108,110776.3041749503,1249.2096153846153,3060.0942307692308,28337671.01746543,23722.609337539187,3762.851923076923,1257.3403846153847,2505.5115384615383,2371.1846153846154,1623.2346153846154,111.0923076923077,7.198076923076923,600.8442307692308
Chatsworth,40282.363333333335,1132245.6866666668,1429.6,1132245696.2666667,44000.0,113224612666.66667,91311.48,86.0,2.0,3.0,122.79333333333334,45.32333333333333,44000.0,113224612666.66667,975857.7919821248,4301.605513256865,105806.89333333333,1384.21,3116.6566666666668,37483695.96573568,26103.701000139234,3876.92,1065.08,2811.84,2651.8866666666668,1754.9433333333334,176.22,5.513333333333334,684.9666666666667
Hancock Park,44807.85648148148,2119096.842592593,2777.1574074074074,2119096851.2314816,44000.0,211909728259.25925,90017.67592592593,34.0,4.0,2.0,75.6574074074074,33.63425925925926,44000.0,211909728259.25925,265385.03101010557,2201.9779128829446,105010.47222222222,1732.4537037037037,2660.5925925925926,18237354.621645357,18287.950165163624,4442.009259259259,472.75925925925924,3969.25,3737.175925925926,2485.712962962963,175.39814814814815,3.5833333333333335,1032.0092592592594
